"","month","serostatus","trial","serotype","mean","lower","upper","year","N","avg_titre","lower_titre","upper_titre","sd_titre","SE_titre"
"1",36,"SN","TAK","DENV-2",313.8034386,272.9150647,356.9441899,3,702,2.49665769819554,2.43602750905028,2.55260031719556,0.787915687542432,0.0297379612615515
"2",36,"SN","TAK","DENV-1",82.01558713,69.07266931,95.31533687,3,702,1.91389639825252,1.83930623961992,1.97916278712421,0.945290497307253,0.0356776906898709
"3",36,"SN","TAK","DENV-3",53.38521567,49.52081769,57.55117515,3,702,1.72742100156176,1.69478780716156,1.76005419601012,0.441135565499418,0.0166495889919793
"4",36,"SN","TAK","DENV-4",55.72736921,47.95149506,62.71180129,3,702,1.74606854126994,1.68080215240733,1.79734927532602,0.787742081078852,0.0297314089078285
"5",36,"SN","Placebo","DENV-1",12.66859413,10.11180858,16.74701582,3,345,1.10272842266088,1.00482883967282,1.22393743057468,1.03820445088837,0.0558950486994534
"6",36,"SN","Placebo","DENV-2",14.41108657,11.37914348,18.64584051,3,345,1.15869672707109,1.0561095734906,1.27058196509757,1.0162367009095,0.0547123447976972
"7",36,"SN","Placebo","DENV-3",10.25433823,8.405749357,12.05220761,3,345,1.01090763814827,0.924576436050729,1.08106660417464,0.741498945330181,0.0399209612560986
"8",36,"SN","Placebo","DENV-4",10.00267684,8.098215614,12.05220761,3,345,1.00011623812724,0.908389335623779,1.08106660417464,0.81819844689269,0.0440503236099124
"9",48,"SN","TAK","DENV-2",236.2200783,209.9114241,263.0033883,4,702,2.37331680912973,2.32203607502156,2.41996134358677,0.661876955157299,0.0249809358584721
"10",48,"SN","TAK","DENV-1",74.1025645,65.14642963,87.04854409,4,702,1.86983323805931,1.8138906190589,1.93976151182363,0.850761447649968,0.0321099216236556
"11",48,"SN","TAK","DENV-3",57.88742078,52.55659678,65.14642963,4,702,1.76258419966237,1.72062723540411,1.8138906190589,0.630367271956915,0.0237916795037732
"12",48,"SN","TAK","DENV-4",46.70594748,41.05857593,52.55970521,4,702,1.66937218663213,1.61340388228572,1.72065292074447,0.724896322049474,0.0273594485864168
"13",48,"SN","Placebo","DENV-1",15.62643555,11.82091018,20.00127094,4,345,1.19385992507566,1.07265091740252,1.30105759289857,1.08226165910048,0.0582670090551141
"14",48,"SN","Placebo","DENV-2",14.80984457,12.20777657,18.95718523,4,345,1.17055050060456,1.08663657210949,1.27777385358072,0.905667712696008,0.0487595105793945
"15",48,"SN","Placebo","DENV-3",11.65945016,9.439547326,13.87356726,4,345,1.06667807031079,0.974951168182173,1.14218814399621,0.79242065283063,0.0426624938301128
"16",48,"SN","Placebo","DENV-4",10.68828854,9.150860142,12.48359174,4,345,1.02890816946141,0.96146191782245,1.09633955717654,0.639092081813674,0.0344075610597159
"17",36,"SP","TAK","DENV-2",1385.043504,1266.015505,1549.686688,3,1816,3.14146341473651,3.10243902455551,3.19024390241099,0.954532012701838,0.0223992035345617
"18",36,"SP","TAK","DENV-1",1071.558929,961.5391636,1172.799109,3,1816,3.03001605949898,2.98296697779861,3.06922362735458,0.937701131423348,0.0220042473357058
"19",36,"SP","TAK","DENV-3",658.1050028,599.0624898,723.027075,3,1816,2.81829519224381,2.7774721271636,2.85915456050744,0.887974556839704,0.0208373554448589
"20",36,"SP","TAK","DENV-4",539.6261629,486.086845,605.3548694,3,1816,2.73209299757446,2.68671386789368,2.78201004017335,1.03597031680413,0.0243102480305272
"21",36,"SP","Placebo","DENV-1",583.6162084,517.5369305,658.1325093,3,902,2.76612734477202,2.71394134570403,2.8183133438632,0.799652316507634,0.0266255097344796
