month,age,serostatus,serotype,outcome,trial,Y
12,12-16yrs,both,D1,VCD,both,9
12,12-16yrs,both,D2,VCD,both,22
12,12-16yrs,both,D3,VCD,both,23
12,12-16yrs,both,D4,VCD,both,1
12,4-5yrs,both,D1,VCD,both,5
12,4-5yrs,both,D2,VCD,both,4
12,4-5yrs,both,D3,VCD,both,25
12,4-5yrs,both,D4,VCD,both,2
12,6-11yrs,both,D1,VCD,both,32
12,6-11yrs,both,D2,VCD,both,41
12,6-11yrs,both,D3,VCD,both,42
12,6-11yrs,both,D4,VCD,both,4
24,12-16yrs,both,D1,VCD,both,16
24,12-16yrs,both,D2,VCD,both,5
24,12-16yrs,both,D3,VCD,both,10
24,12-16yrs,both,D4,VCD,both,1
24,4-5yrs,both,D1,VCD,both,19
24,4-5yrs,both,D2,VCD,both,5
24,4-5yrs,both,D3,VCD,both,21
24,4-5yrs,both,D4,VCD,both,4
24,6-11yrs,both,D1,VCD,both,55
24,6-11yrs,both,D2,VCD,both,32
24,6-11yrs,both,D3,VCD,both,32
24,6-11yrs,both,D4,VCD,both,4
