"","M","L","U","serostatus","serotype","age","year"
"1",76,68," 81","SP","all","all",1.5
"2",66,49," 77","SN","all","all",1.5
"3",69,54," 79","both","D1","all",1.5
"4",95,89," 97","both","D2","all",1.5
"5",48,27," 64","both","D3","all",1.5
"6",51,-69.4," 85","both","D4","all",1.5
"7",73,66," 78","both","all","all",1.5
"8",67,41," 82","SP","all","4-5yrs",1.5
"9",76,65," 83","SP","all","6-11yrs",1.5
"10",81,67," 89","SP","all","12-16yrs",1.5
"11",22,-78.1," 66","SN","all","4-5yrs",1.5
"12",71,51," 83","SN","all","6-11yrs",1.5
"13",85,47," 96","SN","all","12-16yrs",1.5
"14",72,52," 83","SP","D1","all",1.5
"15",93,86," 97","SP","D2","all",1.5
"16",61,43," 74","SP","D3","all",1.5
"17",61,-44.3," 89","SP","D4","all",1.5
"18",67,40," 82","SN","D1","all",1.5
"19",98,85," 99","SN","D2","all",1.5
"20",-68.2,-318.9," 32","SN","D3","all",1.5
"21",0,NA,NA,"SN","D4","all",1.5
"22",80.2,73.3,"85.3","both","all","all",1
"23",56.2,42.3,"66.8","both","all","all",2
"24",82.2,74.5,"87.6","SP","all","all",1
"25",60.3,44.7,"71.5","SP","all","all",2
"26",74.9,57,"85.4","SN","all","all",1
"27",45.3,9.9,"66.8","SN","all","all",2
"28",73.7,51.7,"85.7","both","D1","all",1
"29",59.4,38.5,"73.2","both","D1","all",2
"30",97.7,92.7,"99.3","both","D2","all",1
"31",75,52.3,"86.9","both","D2","all",2
"32",62.6,43.3,"75.4","both","D3","all",1
"33",32.8,-10.9," 59.3","both","D3","all",2
"34",63.2,-64.4," 91.8","both","D4","all",1
"35",41.2,-119," 84.2","both","D4","all",2
"36",79.8,51.3,"91.6","SP","D1","all",1
"37",59.1,31.1,"75.7","SP","D1","all",2
"38",96.5,88.8,"98.9","SP","D2","all",1
"39",75.5,49.5,"88.1","SP","D2","all",2
"40",71.4,54.3,"82.1","SP","D3","all",1
"41",44.9,1.5,"69.1","SP","D3","all",2
"42",63.8,-61.8," 91.9","SP","D4","all",1
"43",69,-85.8," 94.8","SP","D4","all",2
"44",67.2,23.2,"86.0","SN","D1","all",1
"45",60.7,22.1,"80.2","SN","D1","all",2
"46",100,NA,"","SN","D2","all",1
"47",70.5,-23.4," 93.0","SN","D2","all",2
"48",-38.7,-335.7," 55.8","SN","D3","all",1
"49",-18.5,-236.2," 58.3","SN","D3","all",2
"50",NA,NA,NA,"SN","D4","all",1
"51",-47.6,-1319.1," 84.6","SN","D4","all",2
"52",72.8,46.4,"86.2","both","all","4-5yrs",1
"53",24.5,-34.2," 57.5","both","all","4-5yrs",2
"54",80.7,71.3,"87.0","both","all","6-11yrs",1
"55",60.6,43.8,"72.4","both","all","6-11yrs",2
"56",83.3,69.4,"90.9","both","all","12-16yrs",1
"57",71.2,41,"85.9","both","all","12-16yrs",2
"58",81.9,56.6,"92.4","SP","all","4-5yrs",1
"59",46.4,-12.7," 74.5","SP","all","4-5yrs",2
"60",82,70.7,"89.0","SP","all","6-11yrs",1
"61",60.8,40.2,"74.3","SP","all","6-11yrs",2
"62",82.7,66.5,"91.0","SP","all","12-16yrs",1
"63",69.9,33.7,"86.3","SP","all","12-16yrs",2
"64",39.1,-99.8," 81.4","SN","all","4-5yrs",1
"65",-23.7,-219.1," 52.0","SN","all","4-5yrs",2
"66",78.4,57.3,"89.1","SN","all","6-11yrs",1
"67",59.7,21.6,"79.3","SN","all","6-11yrs",2
"68",86.2,33.8,"97.1","SN","all","12-16yrs",1
"69",75.9,-31.6," 95.6","SN","all","12-16yrs",2
"70",44.7,32.5,"54.7","both","all","all",3
"71",48.3,34.2,"59.3","SP","all","all",3
"72",35.5,7.3,"55.1","SN","all","all",3
"73",45.4,24.5,"60.6","SP","D1","all",3
"74",72.1,51.6,"84.0","SP","D2","all",3
"75",15.2,-46.1," 50.8","SP","D3","all",3
"76",61.9,-24.9," 88.4","SP","D4","all",3
"77",17.2,-31.8," 47.9","SN","D1","all",3
"78",84.9,58.7,"94.5","SN","D2","all",3
"79",9.5,-144.7," 66.5","SN","D3","all",3
"80",-99,-1680.3," 77.8","SN","D4","all",3
"81",2.5,-76.6," 46.2","SP","all","4-5yrs",3
"82",51.9,33.8,"65.1","SP","all","6-11yrs",3
"83",61.1,37.1,"76.0","SP","all","12-16yrs",3
"84",47.4,-4.3," 73.4","SN","all","4-5yrs",3
"85",30,-14," 57.1","SN","all","6-11yrs",3
"86",29,-71," 71.0","SN","all","12-16yrs",3
