"","month","serotype","trial","serostatus","N","perc","Y","year"
"1",-3,"DENV-1","TAK","SP",1816,89,1616.24,-0.25
"2",-3,"DENV-1","Placebo","SP",902,91,820.82,-0.25
"3",-3,"DENV-1","TAK","SN",702,0,0,-0.25
"4",-3,"DENV-1","Placebo","SN",345,0,0,-0.25
"5",-2,"DENV-1","TAK","SP",1816,100,1816,-0.166666666666667
"6",-2,"DENV-1","Placebo","SP",902,89,802.78,-0.166666666666667
"7",-2,"DENV-1","TAK","SN",702,94,659.88,-0.166666666666667
"8",-2,"DENV-1","Placebo","SN",345,4.9,16.905,-0.166666666666667
"9",0,"DENV-1","TAK","SP",1816,99,1797.84,0
"10",0,"DENV-1","Placebo","SP",902,90,811.8,0
"11",0,"DENV-1","TAK","SN",702,92,645.84,0
"12",0,"DENV-1","Placebo","SN",345,6.1,21.045,0
"13",1,"DENV-1","TAK","SP",1816,100,1816,0.0833333333333333
"14",1,"DENV-1","Placebo","SP",902,90,811.8,0.0833333333333333
"15",1,"DENV-1","TAK","SN",702,100,702,0.0833333333333333
"16",1,"DENV-1","Placebo","SN",345,8.3,28.635,0.0833333333333333
"17",6,"DENV-1","TAK","SP",1816,100,1816,0.5
"18",6,"DENV-1","Placebo","SP",902,90,811.8,0.5
"19",6,"DENV-1","TAK","SN",702,95,666.9,0.5
"20",6,"DENV-1","Placebo","SN",345,9,31.05,0.5
"21",12,"DENV-1","TAK","SP",1816,99,1797.84,1
"22",12,"DENV-1","Placebo","SP",902,90,811.8,1
"23",12,"DENV-1","TAK","SN",702,93,652.86,1
"24",12,"DENV-1","Placebo","SN",345,10,34.5,1
"25",24,"DENV-1","TAK","SP",1816,99,1797.84,2
"26",24,"DENV-1","Placebo","SP",902,91,820.82,2
"27",24,"DENV-1","TAK","SN",702,90,631.8,2
"28",24,"DENV-1","Placebo","SN",345,15,51.75,2
"29",-3,"DENV-2","TAK","SP",1816,97,1761.52,-0.25
"30",-3,"DENV-2","Placebo","SP",902,97,874.94,-0.25
"31",-3,"DENV-2","TAK","SN",702,0,0,-0.25
"32",-3,"DENV-2","Placebo","SN",345,0,0,-0.25
"33",-2,"DENV-2","TAK","SP",1816,100,1816,-0.166666666666667
"34",-2,"DENV-2","Placebo","SP",902,93,838.86,-0.166666666666667
"35",-2,"DENV-2","TAK","SN",702,99,694.98,-0.166666666666667
"36",-2,"DENV-2","Placebo","SN",345,11,37.95,-0.166666666666667
"37",0,"DENV-2","TAK","SP",1816,100,1816,0
"38",0,"DENV-2","Placebo","SP",902,94,847.88,0
"39",0,"DENV-2","TAK","SN",702,99,694.98,0
"40",0,"DENV-2","Placebo","SN",345,12,41.4,0
"41",1,"DENV-2","TAK","SP",1816,100,1816,0.0833333333333333
"42",1,"DENV-2","Placebo","SP",902,94,847.88,0.0833333333333333
"43",1,"DENV-2","TAK","SN",702,100,702,0.0833333333333333
"44",1,"DENV-2","Placebo","SN",345,15,51.75,0.0833333333333333
"45",6,"DENV-2","TAK","SP",1816,100,1816,0.5
"46",6,"DENV-2","Placebo","SP",902,95,856.9,0.5
"47",6,"DENV-2","TAK","SN",702,100,702,0.5
