month,age,serostatus,serotype,outcome,trial,Y
12,4-5yrs,SP,all,hosp,V,1
12,6-11yrs,SP,all,hosp,V,1
12,12-16yrs,SP,all,hosp,V,2
12,4-5yrs,SN,all,hosp,V,0
12,6-11yrs,SN,all,hosp,V,1
12,12-16yrs,SN,all,hosp,V,0
12,4-5yrs,SP,all,hosp,P,1
12,6-11yrs,SP,all,hosp,P,19
12,12-16yrs,SP,all,hosp,P,15
12,4-5yrs,SN,all,hosp,P,2
12,6-11yrs,SN,all,hosp,P,14
12,12-16yrs,SN,all,hosp,P,2
18,4-5yrs,SP,all,hosp,V,2
18,6-11yrs,SP,all,hosp,V,2
18,12-16yrs,SP,all,hosp,V,0
18,4-5yrs,SN,all,hosp,V,2
18,6-11yrs,SN,all,hosp,V,2
18,12-16yrs,SN,all,hosp,V,0
18,4-5yrs,SP,all,hosp,P,2
18,6-11yrs,SP,all,hosp,P,7
18,12-16yrs,SP,all,hosp,P,1
18,4-5yrs,SN,all,hosp,P,1
18,6-11yrs,SN,all,hosp,P,1
18,12-16yrs,SN,all,hosp,P,1
24,4-5yrs,SP,all,hosp,V,0
24,6-11yrs,SP,all,hosp,V,0
24,12-16yrs,SP,all,hosp,V,1
24,4-5yrs,SN,all,hosp,V,1
24,6-11yrs,SN,all,hosp,V,1
24,12-16yrs,SN,all,hosp,V,0
24,4-5yrs,SP,all,hosp,P,1
24,6-11yrs,SP,all,hosp,P,4
24,12-16yrs,SP,all,hosp,P,1
24,4-5yrs,SN,all,hosp,P,0
24,6-11yrs,SN,all,hosp,P,3
24,12-16yrs,SN,all,hosp,P,0
36,4-5yrs,SP,all,hosp,V,4
36,6-11yrs,SP,all,hosp,V,5
36,12-16yrs,SP,all,hosp,V,3
36,4-5yrs,SN,all,hosp,V,1
36,6-11yrs,SN,all,hosp,V,7
36,12-16yrs,SN,all,hosp,V,1
36,4-5yrs,SP,all,hosp,P,1
36,6-11yrs,SP,all,hosp,P,18
36,12-16yrs,SP,all,hosp,P,7
36,4-5yrs,SN,all,hosp,P,2
36,6-11yrs,SN,all,hosp,P,5
36,12-16yrs,SN,all,hosp,P,1
36,all,SP,D1,hosp,V,6
36,all,SP,D2,hosp,V,2
36,all,SP,D3,hosp,V,4
36,all,SP,D4,hosp,V,0
36,all,SN,D1,hosp,V,2
36,all,SN,D2,hosp,V,0
36,all,SN,D3,hosp,V,7
36,all,SN,D4,hosp,V,0
36,all,SP,D1,hosp,P,10
36,all,SP,D2,hosp,P,9
36,all,SP,D3,hosp,P,6
36,all,SP,D4,hosp,P,1
36,all,SN,D1,hosp,P,5
36,all,SN,D2,hosp,P,2
36,all,SN,D3,hosp,P,1
36,all,SN,D4,hosp,P,0
12,4-5yrs,both,D1,hosp,both,0
12,6-11yrs,both,D1,hosp,both,4
12,12-16yrs,both,D1,hosp,both,1
12,4-5yrs,both,D2,hosp,both,3
12,6-11yrs,both,D2,hosp,both,25
12,12-16yrs,both,D2,hosp,both,15
12,4-5yrs,both,D3,hosp,both,1
12,6-11yrs,both,D3,hosp,both,6
12,12-16yrs,both,D3,hosp,both,3
12,4-5yrs,both,D4,hosp,both,0
12,6-11yrs,both,D4,hosp,both,0
12,12-16yrs,both,D4,hosp,both,0
24,4-5yrs,both,D1,hosp,both,4
24,6-11yrs,both,D1,hosp,both,11
24,12-16yrs,both,D1,hosp,both,4
24,4-5yrs,both,D2,hosp,both,2
24,6-11yrs,both,D2,hosp,both,5
24,12-16yrs,both,D2,hosp,both,0
24,4-5yrs,both,D3,hosp,both,3
24,6-11yrs,both,D3,hosp,both,3
24,12-16yrs,both,D3,hosp,both,0
24,4-5yrs,both,D4,hosp,both,0
24,6-11yrs,both,D4,hosp,both,1
24,12-16yrs,both,D4,hosp,both,0
48,all,SP,D1,hosp,P,3
48,all,SP,D2,hosp,P,4
48,all,SP,D3,hosp,P,1
48,all,SP,D4,hosp,P,0
48,all,SN,D1,hosp,P,3
48,all,SN,D2,hosp,P,1
48,all,SN,D3,hosp,P,1
48,all,SN,D4,hosp,P,0
48,all,SP,D1,hosp,V,1
48,all,SP,D2,hosp,V,0
48,all,SP,D3,hosp,V,0
48,all,SP,D4,hosp,V,0
48,all,SN,D1,hosp,V,0
48,all,SN,D2,hosp,V,0
48,all,SN,D3,hosp,V,0
48,all,SN,D4,hosp,V,0
54,all,SP,D1,hosp,P,0
54,all,SP,D2,hosp,P,2
54,all,SP,D3,hosp,P,0
54,all,SP,D4,hosp,P,0
54,all,SN,D1,hosp,P,0
54,all,SN,D2,hosp,P,0
54,all,SN,D3,hosp,P,0
54,all,SN,D4,hosp,P,0
54,all,SP,D1,hosp,V,1
54,all,SP,D2,hosp,V,0
54,all,SP,D3,hosp,V,0
54,all,SP,D4,hosp,V,0
54,all,SN,D1,hosp,V,0
54,all,SN,D2,hosp,V,0
54,all,SN,D3,hosp,V,0
54,all,SN,D4,hosp,V,0
