,,Placebo (N = 6317),TAK-003 (N = 12 704),Efficacy % (95% CI)
VCD,,,,
Overall,,179/6201 (3.1),208/12 435 (1.7),44.7 (32.5–54.7)
SP,,128/4502 (3.1),139/8968 (1.6),48.3 (34.2–59.3)
SN,,51/1698 (3.2),69/3465 (2.1),35.5 (7.3–55.1)
SP,DENV-1,69/4502 (1.7),77/8968 (0.9),45.4 (24.5–60.6)
,DENV-2,34/4502 (0.8),20/8968 (0.2),72.1 (51.6–84.0)
,DENV-3,20/4502 (0.5),37/8968 (0.4),15.2 (−46.1 to 50.8)
,DENV-4,6/4502 (0.1),5/8968 (<0.1),61.9 (−24.9 to 88.4)
SN,DENV-1,28/1698 (1.8),49/3465 (1.5),17.2 (−31.8 to 47.9)
,DENV-2,16/1698 (1.0),5/3465 (0.1),84.9 (58.7–94.5)
,DENV-3,6/1698 (0.4),11/3465 (0.3),9.5 (−144.7 to 66.5)
,DENV-4,1/1698 (<0.1),4/3465 (0.1),−99.0 (−1680.3 to 77.8)
SP,4–5 y,16/457 (3.9),34/941 (3.8),2.5 (−76.6 to 46.2)
,6–11 y,75/2401 (3.4),75/4743 (1.6),51.9 (33.8–65.1)
,12–16 y,37/1644 (2.4),30/3284 (0.9),61.1 (37.1–76.0)
SN,4–5 y,16/331 (5.2),17/652(2.8),47.4 (−4.3 to 73.4)
,6–11 y,27/1051 (2.8),40/2165 (1.9),30.0 (−14.0 to 57.1)
,12–16 y,8/316 (2.7),12/648 (1.9),29.0 (−73.6 to 71.0)
Hospitalized VCD,,,,
Overall,,34/6201 (0.6),21/12 435 (0.2),70.8 (49.6–83.0)
SP,,26/4502 (0.6),12/8968 (0.1),78.4 (57.1–89.1)
SN,,8/1698 (0.5),9/3465 (0.3),45.0 (−42.6 to 78.8)
SP,DENV-1,10/4502 (0.2),6/8968 (<0.1),71.6 (21.7–89.7)
,DENV-2,9/4502 (0.2),2/8968 (<0.1),89.4 (51.1–97.7)
,DENV-3,6/4502 (0.1),4/8968 (<0.1),69.6 (−7.9 to 91.4)
,DENV-4,1/4502 (<0.1),0/8968(0),100.0 (NE–NE)
SN,DENV-1,5/1698 (0.3),2/3465 (<0.1),80.6 (−0.1 to 96.2)
,DENV-2,2/1698 (0.1),0/3465 (0),100.0 (NE–NE)
,DENV-3,1/1698 (<0.1),7/3465 (0.2),−246.6 (−2716.1 to 57.3)
,DENV-4,0/1698 (0),0/3465 (0),NE
SP,4–5 y,1/457 (0.2),4/941 (0.4),−80.7 (−1517.3 to 79.8)
,6–11 y,18/2401 (0.8),5/4743 (0.1),87.0 (65.0–95.2)
,12–16 y,7/1644 (0.5),3/3284 (<0.1),79.9 (22.1–94.8)
SN,4–5 y,2/331 (0.6),1/652 (0.2),73.0 (−197.4 to 97.6)
,6–11 y,5/1051 (0.5),7/2165 (0.3),28.7 (−124.9 to 77.4)
,12–16 y,1/316 (0.3),1/648 (0.2),52.3 (−669.7 to 97.0)
