"","Serotype","Outcome","Country","Y"
"1","D1","Symp","Phillippines",31
"2","D1","Symp","Sri.Lanka",8
"3","D1","Symp","Thailand",25
"4","D1","Symp","Brazil",12
"5","D1","Symp","Colombia",59
"6","D1","Symp","DR",22
"7","D1","Symp","Nicaragua",0
"8","D1","Symp","Panama",38
"9","D2","Symp","Phillippines",33
"10","D2","Symp","Sri.Lanka",85
"11","D2","Symp","Thailand",23
"12","D2","Symp","Brazil",10
"13","D2","Symp","Colombia",6
"14","D2","Symp","DR",0
"15","D2","Symp","Nicaragua",20
"16","D2","Symp","Panama",2
"17","D3","Symp","Phillippines",104
"18","D3","Symp","Sri.Lanka",5
"19","D3","Symp","Thailand",2
"20","D3","Symp","Brazil",0
"21","D3","Symp","Colombia",0
"22","D3","Symp","DR",0
"23","D3","Symp","Nicaragua",0
"24","D3","Symp","Panama",0
"25","D4","Symp","Phillippines",13
"26","D4","Symp","Sri.Lanka",1
"27","D4","Symp","Thailand",3
"28","D4","Symp","Brazil",0
"29","D4","Symp","Colombia",0
"30","D4","Symp","DR",0
"31","D4","Symp","Nicaragua",0
"32","D4","Symp","Panama",0
"33","All","Symp","Phillippines",181
"34","All","Symp","Sri.Lanka",100
"35","All","Symp","Thailand",53
"36","All","Symp","Brazil",22
"37","All","Symp","Colombia",65
"38","All","Symp","DR",22
"39","All","Symp","Nicaragua",20
"40","All","Symp","Panama",40
"41","All","Hosp","Phillippines",17
"42","All","Hosp","Sri.Lanka",68
"43","All","Hosp","Thailand",20
"44","All","Hosp","Brazil",2
"45","All","Hosp","Colombia",10
"46","All","Hosp","DR",4
"47","All","Hosp","Nicaragua",4
"48","All","Hosp","Panama",1
"49","D1","Hosp","All",32
"50","D2","Hosp","All",75
"51","D3","Hosp","All",16
"52","D4","Hosp","All",3
