P_Y,V_Y,P_N,V_N,year,serostatus,serotype
42,33,6103,12225,4,both,all
29,22,4425,8820,4,SP,all
13,11,1677,3403,4,SN,all
18,16,4425,8820,4,SP,D1
6,4,4425,8820,4,SP,D2
2,2,4425,8820,4,SP,D3
3,0,4425,8820,4,SP,D4
11,10,1677,3403,4,SN,D1
1,0,1677,3403,4,SN,D2
1,0,1677,3403,4,SN,D3
0,1,1677,3403,4,SN,D4
52,49,6102,12224,4-4.5,both,all
35,30,4425,8820,4-4.5,SP,all
17,19,1676,3402,4-4.5,SN,all
20,17,4425,8820,4-4.5,SP,D1
9,11,4425,8820,4-4.5,SP,D2
2,2,4425,8820,4-4.5,SP,D3
4,0,4425,8820,4-4.5,SP,D4
13,11,1676,3402,4-4.5,SN,D1
3,4,1676,3402,4-4.5,SN,D2
1,0,1676,3402,4-4.5,SN,D3
0,4,1676,3402,4-4.5,SN,D4
