Month,TAK_D2,TAK_D1,TAK_D3,TAK_D4,Placebo_D1,Placebo_D2,Placebo_D3,Placebo_D4,Metric,Serostatus
39,313.8034386,82.01558713,53.38521567,55.72736921,12.66859413,14.41108657,10.25433823,10.00267684,mean,SN
39,272.9150647,69.07266931,49.52081769,47.95149506,10.11180858,11.37914348,8.405749357,8.098215614,lower,SN
39,356.9441899,95.31533687,57.55117515,62.71180129,16.74701582,18.64584051,12.05220761,12.05220761,upper,SN
51,236.2200783,74.1025645,57.88742078,46.70594748,15.62643555,14.80984457,11.65945016,10.68828854,mean,SN
51,209.9114241,65.14642963,52.55659678,41.05857593,11.82091018,12.20777657,9.439547326,9.150860142,lower,SN
51,263.0033883,87.04854409,65.14642963,52.55970521,20.00127094,18.95718523,13.87356726,12.48359174,upper,SN
39,1385.043504,1071.558929,658.1050028,539.6261629,583.6162084,586.6732699,335.4424008,276.4818125,mean,SP
39,1266.015505,961.5391636,599.0624898,486.086845,517.5369305,506.8337418,273.607914,235.1413011,lower,SP
39,1549.686688,1172.799109,723.027075,605.3548694,658.1325093,682.6467693,396.4829948,323.3964605,upper,SP
51,1172.799109,1005.936952,658.1325093,468.6311713,614.9175804,562.658196,388.2833243,275.0411096,mean,SP
51,1042.926707,910.8407181,583.6162084,419.93598,536.8142564,496.3519059,331.9556346,233.9160171,lower,SP
51,1295.245083,1091.082457,742.1630749,514.8401275,689.817094,651.291531,447.1060682,325.0904554,upper,SP
