,"TAK-003
Seropositive
(n = 1816)",Placebo Seropositive (n = 902),"TAK-003
Seronegative
(n = 702)",Placebo Seronegative (n = 345)
DENV-1,,,,
Month 0,411 (366 – 462),445 (378 – 525),5.0 (5.0 – 5.0),5.0 (5.0 – 5.0)
Month 1,2404 (2204 – 2622),430 (361 – 512),118 (106 – 131),5.8 (5.3 – 6.3)
Month 3,1947 (1793 – 2114),410 (350 – 482),91 (82 – 102),5.9 (5.4 – 6.3)
Month 4,2115 (1957 – 2286),454 (383 – 536),184 (169 – 201),6.3 (5.7 – 7.0)
Month 9,1446 (1328 – 1573),415 (350 – 492),88 (79 – 98),6.3 (5.8 – 6.9)
Month 15,1250 (1145 – 1365),453 (382 – 537),77 (69 – 87),6.9 (6.1 – 7.8)
Month 27,1137 (1035 – 1249),491 (411 – 588),73 (63 – 84),8.7 (7.2 – 11)
DENV-2,,,,
Month 0,753 (681 – 833),805 (699 – 927),5.0 (5.0 – 5.0),5.0 (5.0 – 5.0)
Month 1,6696 (6300 – 7116),746 (638 – 873),6277 (5648 – 6977),6.6 (6.0 – 7.3)
Month 3,4826 (4571 – 5095),725 (625 – 840),1682 (1543 – 1833),7.1 (6.3 – 8.0)
Month 4,4897 (4646 – 5163),767 (656 – 897),1730 (1614 – 1855),7.8 (6.8 – 8.9)
Month 9,3691 (3496 – 3898),778 (667 – 907),929 (855 – 1009),8.9 (7.5 – 10)
Month 15,2999 (2836 – 3170),745 (636 – 873),656 (601 – 717),8.5 (7.2 – 10)
Month 27,1657 (1550 – 1771),561 (479 – 657),356 (320 – 397),9.8 (7.9 – 12)
DENV-3,,,,
Month 0,358 (321 – 398),356 (305 – 416),5.0 (5.0 – 5.0),5.0 (5.0 – 5.0)
Month 1,2254 (2093 – 2428),350 (299 – 410),195 (174 – 218),5.5 (5.2 – 5.9)
Month 3,1563 (1453 – 1682),322 (277 – 374),94 (85 – 104),5.5 (5.1 – 5.9)
Month 4,1761 (1646 – 1884),354 (302 – 415),228 (212 – 246),6.0 (5.4 – 6.6)
Month 9,1088 (1008 – 1174),308 (262 – 361),72 (66 – 78),6.4 (5.7 – 7.1)
Month 15,803 (742 – 870),284 (242 – 333),54 (49 – 59),6.3 (5.8 – 6.9)
Month 27,725 (666 – 791),309 (262 – 364),55 (48 – 62),7.6 (6.6 – 8.8)
DENV-4,,,,
Month 0,218 (198 – 241),234 (203 – 270),5.0 (5.0 – 5.0),5.0 (5.0 – 5.0)
Month 1,1306 (1224 – 1393),222 (192 – 258),111 (98 – 126),5.4 (5.0 – 5.7)
Month 3,1002 (940 – 1069),215 (187 – 248),63 (57 – 70),5.5 (5.1 – 5.9)
Month 4,1129 (1066 – 1196),242 (208 – 280),144 (134 – 155),5.8 (5.4 – 6.4)
Month 9,778 (730 – 830),229 (198 – 266),64 (59 – 70),6.2 (5.6 – 6.9)
Month 15,818 (766 – 874),293 (252 – 340),64 (58 – 71),6.4 (5.8 – 7.1)
Month 27,636 (592 – 682),264 (228 – 307),56 (50 – 63),7.5 (6.5 – 8.6)
