,,TAK-003 dengue cases,TAK-003 cases per 100 person-years,Placebo dengue cases,Placebo cases per 100 person-years,Vaccine efficacy (95% CI)
Secondary efficacy endpoints,,,,,,
"Seropositive, 4–16 years",,75/9167 (0·8%),0·6,150/4589 (3·3%),2·4,76·1% (68·5 to 81·9)
"Seronegative, 4–16 years",,39/3531 (1·1%),0·8,56/1726 (3·2%),2·4,66·2% (49·1 to 77·5)
DENV 1,,38/12 700 (0·3%),0·2,62/6316 (1·0%),0·7,69·8% (54·8 to 79·9)
DENV 2,,8/12 700 (<0·1%),<0·1,80/6316 (1·3%),0·9,95·1% (89·9 to 97·6)
DENV 3,,63/12 700 (0·5%),0·4,60/6316 (0·9%),0·7,48·9% (27·2 to 64·1)
DENV 4,,5/12 700 (<0·1%),<0·1,5/6316 (<0·1%),<0·1,51·0% (–69·4 to 85·8)
Exploratory efficacy endpoints,,,,,,
Overall                                               ,,    114/12 700 ,  0·6 ,  206/6316 (3·3%)   , 2·4      ,  73·3% (66·5 to 78·8)
Seropositive,,,,,,
4–5 years,,18/957 (1·9%),1·3,26/464 (5·6%),4·1,67·7% (41·1 to 82·3)
6–11 years,,40/4807 (0·8%),0·6,80/2425 (3·3%),2·4,76·2% (65·2 to 83·7)
12–16 years,,17/3403 (0·5%),0·4,44/1700 (2·6%),1·9,81·2% (67·0 to 89·2)
Seronegative,,,,,,
4–5 years,,14/662 (2·1%),1·5,9/337 (2·7%),1·9,22·9% (–78·1 to 66·7)
6–11 years,,22/2200 (1·0%),0·7,37/1065 (3·5%),2·5,71·2% (51·2 to 83·0)
12–16 years,,3/669 (0·4%),0·3,10/324 (3·1%),2·3,85·7% (47·9 to 96·1)
Seropositive,,,,,,
DENV 1,,21/9167 (0·2%),0·2,37/4589 (0·8%),0·6,72·0% (52·2 to 83·6)
DENV 2,,7/9167 (<0·1%),<0·1,54/4589 (1·2%),0·9,93·7% (86·1 to 97·1)
DENV 3,,43/9167 (0·5%),0·3,54/4589 (1·2%),0·9,61·8% (43·0 to 74·4)
DENV 4,,4/9167 (<0·1%),<0·1,5/4589 (0·1%),<0·1,61·2% (–44·3 to 89·6)
Seronegative,,,,,,
DENV 1,,17/3531 (0·5%),0·3,25/1726 (1·4%),1·0,67·8% (40·3 to 82·6)
DENV 2,,1/3531 (<0·1%),<0·1,26/1726 (1·5%),1·1,98·1% (85·8 to 99·7)
DENV 3,,20/3531 (0·6%),0·4,6/1726 (0·3%),0·3,–68·2% (–318·9 to 32·4)
DENV 4,,1/3531 (<0·1%),<0·1,0/1726 (0%),0·0,··
Seropositive,,,,,,
Asia Pacific,,62/4391 (1·4%),1·0,125/2169 (5·8%),4·3,76·6% (68·3 to 82·7)
Latin America,,13/4776 (0·3%),0·2,25/2420 (1·0%),0·7,73·7% (48·5 to 86·5)
Seronegative,,,,,,
Asia Pacific,,27/1503 (1·8%),1·3,35/773 (4·5%),3·4,61·8% (36·8 to 76·9)
Latin America,,12/2028 (0·6%),0·4,21/953 (2·2%),1·6,73·4% (45·9 to 86·9)
Yellow fever vaccine received,,10/2719 (0·4%),0·3,18/1355 (1·3%),1·0,72·4% (40·1 to 87·2)
Yellow fever vaccine not received,,104/9981 (1·0%),0·7,188/4961 (3·8%),2·8,73·4% (66·2 to 79·1)
Japanese encephalitis vaccine received,,16/3157 (0·5%),0·4,82/1552 (5·3%),4·0,90·8% (84·3 to 94·6)
Japanese encephalitis vaccine not received,,98/9543 (1·0%),0·7,124/4764 (2·6%),1·9,61·5% (49·8 to 70·4)
Yellow fever and Japanese encephalitis vaccine not received,,88/6825 (1·3%),0·9,106/3409 (3·1%),2·3,59·6% (46·4 to 69·6)
