,TAK_SP,Placebo_SP,TAK_SN,Placebo_SN,Serotype
Month 0,89 (88 – 91),91 (89 – 92),0 (0 – 0.5),0 (0 – 1.1),DENV-1
Month 1,100 (99 – 100),89 (86 – 91),94 (92 – 96),4.9 (2.8 – 7.8),DENV-1
Month 3,99 (99 – 100),90 (88 – 92),92 (89 – 94),6.1 (3.8 – 9.2),DENV-1
Month 4,100 (100 – 100),90 (88 – 92),100 (99 – 100),8.3 (5.5 – 12),DENV-1
Month 9,100 (99 – 100),90 (88 – 92),95 (93 – 97),9.0 (6.0 – 13),DENV-1
Month 15,99 (99 – 100),90 (88 – 92),93 (91 – 95),10 (7.1 – 14),DENV-1
Month 27,99 (99 – 100),91 (88 – 93),90 (88 – 93),15 (11 – 20),DENV-1
Month 0,97 (96 – 97),97 (96 – 98),0 (0 – 0.5),0 (0 – 1.1),DENV-2
Month 1,100 (100 – 100),93 (91 – 95),99 (97 – 99),11 (7.5 – 15),DENV-2
Month 3,100 (100 – 100),94 (92 – 95),99 (98 – 100),12 (8.9 – 16),DENV-2
Month 4,100 (100 – 100),94 (92 – 95),100 (99 – 100),15 (11 – 19),DENV-2
Month 9,100 (100 – 100),95 (93 – 96),100 (99 – 100),18 (14 – 23),DENV-2
Month 15,100 (100 – 100),93 (91 – 95),100 (99 – 100),13 (9.5 – 17),DENV-2
Month 27,100 (100 – 100),94 (91 – 95),100 (99 – 100),15 (11 – 20),DENV-2
Month 0,88 (87 – 90),88 (86 – 90),0 (0 – 0.5),0 (0 – 1.1),DENV-3
Month 1,100 (99 – 100),88 (85 – 90),96 (94 – 97),4.0 (2.1 – 6.7),DENV-3
Month 3,100 (99 – 100),87 (85 – 89),94 (93 – 96),2.0 (0.8 – 4.1),DENV-3
Month 4,100 (100 – 100),88 (86 – 90),100 (99 – 100),5.1 (2.9 – 8.2),DENV-3
Month 9,100 (99 – 100),87 (85 – 89),96 (95 – 98),7.7 (4.9 – 11),DENV-3
Month 15,100 (99 – 100),86 (84 – 89),93 (90 – 95),8.3 (5.5 – 12),DENV-3
Month 27,99 (99 – 100),88 (86 – 91),92 (89 – 94),13 (8.9 – 17),DENV-3
Month 0,88 (87 – 90),87 (85 – 90),0 (0 – 0.5),0 (0 – 1.1),DENV-4
Month 1,100 (99 – 100),87 (84 – 89),91 (88 – 93),1.8 (0.7 – 3.9),DENV-4
Month 3,99 (99 – 100),87 (85 – 89),92 (90 – 94),2.9 (1.4 – 5.3),DENV-4
Month 4,100 (100 – 100),88 (86 – 90),100 (99 – 100),4.8 (2.7 – 7.8),DENV-4
Month 9,100 (99 – 100),88 (85 – 90),97 (95 – 98),6.3 (3.9 – 9.7),DENV-4
Month 15,100 (99 – 100),89 (86 – 91),95 (93 – 97),8.0 (5.2 – 12),DENV-4
Month 27,100 (99 – 100),90 (87 – 92),94 (92 – 96),13 (9.2 – 18),DENV-4
,,,,,
,,,,,
,,,,,
