Year 1,,Year 2,,Year 1,Year 2,,Year 1,Year 2
Overall,61/12 700 (0.5),97/12 577 (0.8),,149/6316 (2.6),106/6268 (1.8),,80.2 (73.3–85.3),56.2 (42.3–66.8)
SP,41/9165 (0.5),64/9077 (0.7),,110/4587 (2.7),77/4552 (1.8),,82.2 (74.5–87.6),60.3 (44.7–71.5)
SN,20/3531 (0.6),33/3498 (1.0),,39/1726 (2.5),29/1715 (1.8),,74.9 (57.0–85.4),45.3 (9.9–66.8)
DENV-1,16/12 700 (0.1),41/12 577 (0.3),,30/6316 (0.5),49/6268 (0.8),,73.7 (51.7–85.7),59.4 (38.5–73.2)
DENV-2,3/12 700 (< 0.1),14/12 577 (0.1),,64/6316 (1.1),27/6268 (0.4),,97.7 (92.7–99.3),75.0 (52.3–86.9)
DENV-3,39/12 700 (0.3),37/12 577 (0.3),,51/6316 (0.9),26/6268 (0.4),,62.6 (43.3–75.4),32.8 (−10.9 to 59.3)
DENV-4,3/12 700 (< 0.1),5/12 577 (< 0.1),,4/6316 (< 0.1),4/6268 (< 0.1),,63.2 (−64.4 to 91.8),41.2 (−119.0 to 84.2)
SP,,,,,,,,
DENV-1,7/9165 (< 0.1),26/9077 (0.3),,17/4587 (0.4),31/4552 (0.7),,79.8 (51.3–91.6),59.1 (31.1–75.7)
DENV-2,3/9165 (< 0.1),11/9077 (0.1),,42/4587 (1.0),22/4552 (0.5),,96.5 (88.8–98.9),75.5 (49.5–88.1)
DENV-3,28/9165 (0.3),25/9077 (0.3),,47/4587 (1.1),21/4552 (0.5),,71.4 (54.3–82.1),44.9 (1.5–69.1)
DENV-4,3/9165 (< 0.1),2/9077 (< 0.1),,4/4587 (< 0.1),3/4552 (< 0.1),,63.8 (−61.8 to 91.9),69.0 (−85.8 to 94.8)
SN,,,,,,,,
DENV-1,9/3531 (0.3),15/3498 (0.4),,13/1726 (0.8),18/1715 (1.1),,67.2 (23.2–86.0),60.7 (22.1–80.2)
DENV-2,0/3531 (0),3/3498 (< 0.1),,22/1726 (1.4),5/1715 (0.3),,100 (–),70.5 (−23.4 to 93.0)
DENV-3,11/3531 (0.3),12/3498 (0.3),,4/1726 (0.3),5/1715 (0.3),,−38.7 (−335.7 to 55.8),−18.5 (−236.2 to 58.3)
DENV-4,0/3531 (0),3/3498 (< 0.1),,0/1726 (0),1/1715 (< 0.1),,…,−47.6 (−1319.1 to 84.6)
Age 4–5 y,13/1619 (0.9),30/1603 (1.9),,23/801 (3.2),19/795 (2.5),,72.8 (46.4–86.2),24.5 (−34.2 to 57.5)
Age 6–11 y,34/7009 (0.5),55/6961 (0.8),,85/3491 (2.7),67/3476 (2.0),,80.7 (71.3–87.0),60.6 (43.8–72.4)
Age 12–16 y,14/4072 (0.4),12/4013 (0.3),,41/2024 (2.2),20/1997 (1.0),,83.3 (69.4–90.9),71.2 (41.0–85.9)
SP,,,,,,,,
Age 4–5 y,7/957 (0.8),15/948 (1.6),,18/464 (4.3),13/461 (3.0),,81.9 (56.6–92.4),46.4 (−12.7 to 74.5)
Age 6–11 y,22/4806 (0.5),39/4775 (0.8),,58/2423 (2.7),48/2415 (2.1),,82.0 (70.7–89.0),60.8 (40.2–74.3)
Age 12–16 y,12/3402 (0.4),10/3354 (0.3),,34/1700 (2.2),16/1676 (1.0),,82.7 (66.5–91.0),69.9 (33.7–86.3)
SN,,,,,,,,
Age 4–5 y,6/662 (1.0),15/655 (2.4),,5/337 (1.6),6/334 (1.9),,39.1 (−99.8 to 81.4),−23.7 (−219.1 to 52.0)
Age 6–11 y,12/2200 (0.6),16/2184 (0.7),,27/1065 (2.8),19/1060 (1.9),,78.4 (57.3–89.1),59.7 (21.6–79.3)
Age 12–16 y,2/669 (0.3),2/659 (0.3),,7/324 (2.4),4/321 (1.3),,86.2 (33.8–97.1),75.9 (−31.6 to 95.6)
Hospitalized,,,,,,,,
Overall,5/12 700 (< 0.1),11/12 577 (< 0.1),,53/6316 (0.9),22/6268 (0.4),,95.4 (88.4–98.2),76.1 (50.8–88.4)
SP,4/9165 (< 0.1),5/9077 (< 0.1),,35/4587 (0.8),16/4552 (0.4),,94.4 (84.4–98.0),85.2 (59.6–94.6)
SN,1/3531 (< 0.1),6/3498 (0.2),,18/1726 (1.2),6/1715 (0.4),,97.2 (79.1–99.6),51.4 (−50.7 to 84.3)
Age 4–5 y,1/1619 (< 0.1),5/1603 (0.3),,3/801 (0.4),4/795 (0.5),,83.7 (−56.5 to 98.3),40.1 (−123.0 to 83.9)
Age 6–11 y,2/7009 (< 0.1),5/6961 (< 0.1),,33/3491 (1.0),15/3476 (0.4),,97.1 (87.8–99.3),84.1 (56.1–94.2)
Age 12–16 y,2/4072 (< 0.1),1/4013 (< 0.1),,17/2024 (0.9),3/1997 (0.2),,94.2 (74.9–98.7),84.2 (−52.1 to 98.4)
SP age 4–5 y,1/957 (0.1),2/948 (0.2),,1/464 (0.2),3/461 (0.7),,52.3 (−662.3 to 97.0),68.7 (−87.1 to 94.8)
SP age 6–11 y,1/4806 (< 0.1),2/4775 (< 0.1),,19/2423 (0.9),11/2415 (0.5),,97.5 (81.5–99.7),91.4 (61.0–98.1)
SP age 12–16 y,2/3402 (< 0.1),1/3354 (< 0.1),,15/1700 (1.0),2/1676 (0.1),,93.4 (71.0–98.5),75.9 (-166.4 to 97.8)
SN age 4–5 y,0/662 (0),3/655 (0.5),,2/337 (0.7),1/334 (0.3),,100,-54.6 (-1387.6 to 83.9)
SN age 6–11 y,1/2200 (< 0.1),3/2184 (0.1),,14/1065 (1.5),4/1060 (0.4),,96.4 (72.5–99.5),64.4 (−59.0 to 92.0)
SN age 12–16 y,0/669 (0),0/659 (0),,2/324 (0.7),1/321 (0.3),,100,100
