"","X","month","age","serostatus","serotype","outcome","trial","Y","year"
"1",1,"12","4-5yrs","seropositive","all","hosp","vaccine",1,"1"
"2",2,"12","6-11yrs","seropositive","all","hosp","vaccine",1,"1"
"3",3,"12","12-16yrs","seropositive","all","hosp","vaccine",2,"1"
"4",4,"12","4-5yrs","seronegative","all","hosp","vaccine",0,"1"
"5",5,"12","6-11yrs","seronegative","all","hosp","vaccine",1,"1"
"6",6,"12","12-16yrs","seronegative","all","hosp","vaccine",0,"1"
"7",7,"12","4-5yrs","seropositive","all","hosp","placebo",1,"1"
"8",8,"12","6-11yrs","seropositive","all","hosp","placebo",19,"1"
"9",9,"12","12-16yrs","seropositive","all","hosp","placebo",15,"1"
"10",10,"12","4-5yrs","seronegative","all","hosp","placebo",2,"1"
"11",11,"12","6-11yrs","seronegative","all","hosp","placebo",14,"1"
"12",12,"12","12-16yrs","seronegative","all","hosp","placebo",2,"1"
"13",13,"18","4-5yrs","seropositive","all","hosp","vaccine",2,"1.5"
"14",14,"18","6-11yrs","seropositive","all","hosp","vaccine",2,"1.5"
"15",15,"18","12-16yrs","seropositive","all","hosp","vaccine",0,"1.5"
"16",16,"18","4-5yrs","seronegative","all","hosp","vaccine",2,"1.5"
"17",17,"18","6-11yrs","seronegative","all","hosp","vaccine",2,"1.5"
"18",18,"18","12-16yrs","seronegative","all","hosp","vaccine",0,"1.5"
"19",19,"18","4-5yrs","seropositive","all","hosp","placebo",2,"1.5"
"20",20,"18","6-11yrs","seropositive","all","hosp","placebo",7,"1.5"
"21",21,"18","12-16yrs","seropositive","all","hosp","placebo",1,"1.5"
"22",22,"18","4-5yrs","seronegative","all","hosp","placebo",1,"1.5"
"23",23,"18","6-11yrs","seronegative","all","hosp","placebo",1,"1.5"
"24",24,"18","12-16yrs","seronegative","all","hosp","placebo",1,"1.5"
"25",25,"24","4-5yrs","seropositive","all","hosp","vaccine",0,"2"
"26",26,"24","6-11yrs","seropositive","all","hosp","vaccine",0,"2"
"27",27,"24","12-16yrs","seropositive","all","hosp","vaccine",1,"2"
"28",28,"24","4-5yrs","seronegative","all","hosp","vaccine",1,"2"
"29",29,"24","6-11yrs","seronegative","all","hosp","vaccine",1,"2"
"30",30,"24","12-16yrs","seronegative","all","hosp","vaccine",0,"2"
"31",31,"24","4-5yrs","seropositive","all","hosp","placebo",1,"2"
"32",32,"24","6-11yrs","seropositive","all","hosp","placebo",4,"2"
"33",33,"24","12-16yrs","seropositive","all","hosp","placebo",1,"2"
"34",34,"24","4-5yrs","seronegative","all","hosp","placebo",0,"2"
"35",35,"24","6-11yrs","seronegative","all","hosp","placebo",3,"2"
"36",36,"24","12-16yrs","seronegative","all","hosp","placebo",0,"2"
"37",37,"36","4-5yrs","seropositive","all","hosp","vaccine",4,"3"
"38",38,"36","6-11yrs","seropositive","all","hosp","vaccine",5,"3"
"39",39,"36","12-16yrs","seropositive","all","hosp","vaccine",3,"3"
"40",40,"36","4-5yrs","seronegative","all","hosp","vaccine",1,"3"
"41",41,"36","6-11yrs","seronegative","all","hosp","vaccine",7,"3"
"42",42,"36","12-16yrs","seronegative","all","hosp","vaccine",1,"3"
