"","X","trial","serostatus","serotype","age","year","Y","N","month","outcome"
"1",1,"vaccine","seropositive","all","all","1.5",34,9126,"18",NA
"2",2,"vaccine","seropositive","all","all","1",41,9165,"12",NA
"3",3,"vaccine","seropositive","all","all","2",30,9002,"24",NA
"4",4,"vaccine","seropositive","all","all","3",139,8863,"36",NA
"5",5,"vaccine","seropositive","all","all","4",22,8576,"48",NA
"6",6,"vaccine","seropositive","all","all","4.5",8,8554,"54",NA
"7",7,"vaccine","seronegative","all","all","1.5",19,3511,"18",NA
"8",8,"vaccine","seronegative","all","all","1",20,3531,"12",NA
"9",9,"vaccine","seronegative","all","all","2",14,3459,"24",NA
"10",10,"vaccine","seronegative","all","all","3",69,3412,"36",NA
"11",11,"vaccine","seronegative","all","all","4",11,3281,"48",NA
"12",12,"vaccine","seronegative","all","all","4.5",8,3269,"54",NA
"13",13,"vaccine","both","all","all","1.5",53,12637,"18",NA
"14",14,"vaccine","both","all","all","1",61,12696,"12",NA
"15",15,"vaccine","both","all","all","2",44,12461,"24",NA
"16",16,"vaccine","both","all","all","3",208,12275,"36",NA
"17",17,"vaccine","both","all","all","4",33,11857,"48",NA
"18",18,"vaccine","both","all","all","4.5",16,11823,"54",NA
"19",19,"placebo","seropositive","all","all","1.5",40,4479,"18",NA
"20",20,"placebo","seropositive","all","all","1",110,4587,"12",NA
"21",21,"placebo","seropositive","all","all","2",37,4402,"24",NA
"22",22,"placebo","seropositive","all","all","3",128,4315,"36",NA
"23",23,"placebo","seropositive","all","all","4",29,4110,"48",NA
"24",24,"placebo","seropositive","all","all","4.5",6,4081,"54",NA
"25",25,"placebo","seronegative","all","all","1.5",17,1687,"18",NA
"26",26,"placebo","seronegative","all","all","1",39,1726,"12",NA
"27",27,"placebo","seronegative","all","all","2",12,1659,"24",NA
"28",28,"placebo","seronegative","all","all","3",51,1630,"36",NA
"29",29,"placebo","seronegative","all","all","4",13,1558,"48",NA
"30",30,"placebo","seronegative","all","all","4.5",4,1544,"54",NA
"31",31,"placebo","both","all","all","1.5",57,6166,"18",NA
"32",32,"placebo","both","all","all","1",149,6313,"12",NA
"33",33,"placebo","both","all","all","2",49,6061,"24",NA
"34",34,"placebo","both","all","all","3",179,5945,"36",NA
"35",35,"placebo","both","all","all","4",42,5668,"48",NA
"36",36,"placebo","both","all","all","4.5",10,5625,"54",NA
